City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
262,Pingliang,35.5392,106.6861,21.54,22,97,14.72,CN,2022-11-29 07:39:22
263,Pimenteiras,-6.2453,-41.4192,70.97,94,100,1.41,BR,2022-11-29 07:39:23
264,Souillac,-20.5167,57.5167,82.78,65,75,14.97,MU,2022-11-29 07:39:23
265,Maha Sarakham,16.3333,103.6667,92.91,54,67,1.52,TH,2022-11-29 07:39:23
266,Vila Velha,-20.3297,-40.2925,73.35,94,75,3.44,BR,2022-11-29 07:39:24
267,Ulaangom,49.9811,92.0667,-5.66,87,65,1.61,MN,2022-11-29 07:37:51
268,Gafanha Da Encarnacao,40.6181,-8.733,42.06,93,100,4.29,PT,2022-11-29 07:39:24
269,Puerto Leguizamo,-0.1934,-74.7819,69.75,97,69,1.01,CO,2022-11-29 07:39:25
270,Guadalupe,25.6833,-100.25,66.76,93,100,4.61,MX,2022-11-29 07:39:27
271,Ust-Tsilma,65.441,52.1498,12.29,97,94,2.86,RU,2022-11-29 07:39:28
272,Zhaoqing,23.0512,112.4597,80.82,71,86,7.61,CN,2022-11-29 07:39:28
273,Tessalit,20.1986,1.0114,71.78,20,28,5.44,ML,2022-11-29 07:39:28
274,Kargil,34.5667,76.1,29.79,23,95,0.56,IN,2022-11-29 07:39:29
275,Dicabisagan,17.0818,122.4157,83.95,73,34,3.36,PH,2022-11-29 07:39:29
276,Pyapon,16.2833,95.6833,85.53,69,98,4.63,MM,2022-11-29 07:39:30
277,Dalbandin,28.8947,64.4101,72.57,17,0,7.87,PK,2022-11-29 07:39:30
278,Acapulco,16.8634,-99.8901,75.02,94,20,0.0,MX,2022-11-29 07:39:30
279,Mtsensk,53.2766,36.5733,26.85,79,100,10.49,RU,2022-11-29 07:39:31
280,Nyurba,63.2842,118.3319,-35.01,100,44,3.76,RU,2022-11-29 07:39:31
281,Qaqortoq,60.7167,-46.0333,32.5,99,100,2.13,GL,2022-11-29 07:39:32
282,Bowen,-20.0167,148.2333,81.82,72,71,5.77,AU,2022-11-29 07:39:32
283,Kendari,-3.945,122.4989,84.02,78,100,0.96,ID,2022-11-29 07:39:32
284,Vanimo,-2.6741,141.3028,82.17,75,86,4.12,PG,2022-11-29 07:39:33
285,Shahrud,36.4182,54.9763,51.75,38,2,3.02,IR,2022-11-29 07:39:33
286,Tugolesskiy Bor,55.5505,39.8242,21.22,77,72,5.75,RU,2022-11-29 07:39:34
287,Lokosovo,61.1333,74.8167,-6.75,96,94,3.65,RU,2022-11-29 07:39:34
288,Maltahohe,-24.8333,16.9833,83.41,17,67,6.76,NA,2022-11-29 07:39:34
289,Njombe,-9.3333,34.7667,70.97,48,49,8.5,TZ,2022-11-29 07:39:35
290,Gambiran,-6.7988,111.4951,82.83,76,100,3.44,ID,2022-11-29 07:39:35
